product,title,rating,body
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",I LOVE THESE,5.0,They sound so good!! Battery lasts so long - I’ve had these for about a month now and I haven’t charged them since getting them (I use them everyday on the way to school) It blocks out the noice really well!
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",The best headphones ever,5.0,They are the best headphones for when your on a plane
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Amazing headphones but not so ergonomic,3.0,"They provide really good sound quality but I find that after wearing them for a few hours with no breaks, my neck starts to hurt as well as the top of my head. There is no noise cancelling feature which I don't really mind but you might need to look out for that. Also when connected to my iPhone 12 mini through Bluetooth, sometimes the microphone does not work during an incoming call, which is a bit annoying.Cool headphones though I think you should buy it for the aesthetic!!!"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","good headphone bad delivery, took 7 days and it made me pair next day delivery with no choice",4.0,"good headphone bad delivery, driver also left it in a plant loot in the open 🫣"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Value for money. Great output,5.0,Value for money. Great output.  Only complaint if at all is the range - cuts out and back in while away from fixed device.  Absolutely enjoy the output from thiis product.  Simple hookup to bluetooth commection.  All this for under 40 quid!
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Good sound quality,5.0,Excellent bit of kit and good price
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Perfect for night time movies,5.0,"I wear these headphones for watching movies at night.I like that they tell you the remaining battery charge when you turn them on.I don't know how long they last in all honesty, but I wear them a couple of hours a night and hardly ever seem to charge them.I charge them using my phone charger as they both use USB c.  They charge quickly and have an indicator light.They are easy to pair, just hold the button for a few seconds.They are comfy to wear and I think the sound is good. I sometimes listen to music but I mainly wear them for watching movies.  I would definitely recommend these, in fact I have.They have made watching movies a lot more enjoyable."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great wireless headphones on a budget,5.0,"Would recommend these headphones if you’re looking for something wireless. For me, they’re comfy enough but a tiny bit pinchy (as a glasses wearer and I have lots of ear piercings).The battery on these things is AMAZING, I’ve only charged them once since purchase so they would be great for travelling / long journeys.I don’t use the buttons on them to change songs or volume out of habit but they are easy enough to use.Overall, great for the price but if you want something more comfortable or cushiony I would recommend the more expensive Sony headphones."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Excellent quality at reasonable price,5.0,Excellent product very happy
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Microphone bad,4.0,"The microphone is very sensitive and therefore picks up the sound of wind and everything around you, you can also hear everything the microphone is playing into your ear."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",cheap quality,3.0,"in terms of sound quality the product was excellent for its price, however the outer plastic shell of the headphones felt very flimsy and not durable if it were to fall."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Good Phones,4.0,"Good phones.  Easy to set up and use, comes pre charged."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great sound for a low price,4.0,"These headphones are a great entry level set when it comes to sound and punchy bass. A long battery life is what made the difference in the 2 sets I was considering and the 30ish hour playtime claim holds up well. Although fairly compact and light in design, the build quality feels very cheap and I would not personally have confidence that they would survive a head height fall outdoors.Low cost, long life and great for use around the home."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Sidetone Ruins Them,1.0,"Do you want to hear yourself/wind/traffic louder than the person you're talking to on the phone? Do you want the person you're talking to to constantly hear themselves?THEN DO I HAVE THE HEADPHONES FOR YOU!These are midlingly comfortable with a respectable battery, and fairly decent sound if you're listening to music.However, these all fade into insignificance when you decide you want to call someone or otherwise use the microphone, because for some bafflingly insane reason, Sony decided that the microphone should be wired into the speakers, meaning you can constantly hear yoursef and your surroundings when on a call. And you can't turn it off.This is genuinely the most bafflingly stupid design decision in Sony's history. I can think of not a single reason why this was implemented, or whose life has been improved by said implimentation.It's like buying a car where the windscreen retracts at speeds above 30.Sony, have a word with yourself. Something you're able to do handily when using these damned things."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Amazing headphones!!,5.0,"Very good headphones, light, easily portable, however don't feel very secure on your head so wouldn't recommend if wanting them for running etc (however they are fine for walking)"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Very good value,4.0,Good value
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Met all my expectations.  Very fast delivery.,5.0,"I watched a couple of movies with these headphones, the quality was excellent. I met my expectations.  Also, it did not take long to receive them."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Cheap and cheerful. Uncomfortable. Bass heavy. Problematic pairing. Not recommended.,2.0,"I know these are budget headphones but they are very cheaply built being very lightweight and entirely plastic. Annoyingly Sony have saved pence by not putting any padding on the head band which makes it very uncomfortable especially as there are two hard plastic ridges that run across the inside of the head band. Even after 10 minutes I'd had enough and my head was still sore an hour later. Fortunately this was easily remedied with a short length of adhesive weather stripping. But how ridiculous that I have to do that in the first place.Another negative point is that it took me the best part of an hour to get them to pair with my Samsung phone. I eventually found some help by googling the problem and found that the set had not been left in the correct state after it had left the factory and so had to be re-initialised (with the set in the off state, simultaneously hold down the power and the - volume button for 7 seconds). Easy enough to do once you know how. Incidentally, the instructions you receive with the product are next to useless and impossibly small to read.The sound, like many modern headsets, is bass heavy. I don't mind too much as I'm a bass player and it actually helps when working out bass lines. If you prefer a neutral sounding headphone then these probably aren't suitable.I have at last got a product that suits my needs and is now reasonably comfortable to wear but I really can't recommend them for all the negative reasons that I've mentioned. I expected better from Sony."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",It is alright but broke a few months after purchasing,4.0,It is alright but broke a few months after purchasing
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",t,5.0,"ive had these headphones for like a couple of days now and already im so so glad i bought them, theyre such a great deal for their price and theyre super pretty. there’s some sound leaking when its over 50% but it’s nothing drastic, 100% recommend"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great,5.0,Great headphones. Son loved it. Although i noticed the material used is a bit light and flimsy
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","Works very well, easy to setup",5.0,"I had no problems with these headphones, it was easy to set it up and the sound quality was good."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","Good headphone, but could do with some improvements",4.0,"This is a really good set of headphones with a very good sound quality. I mostly use these for meetings in Teams and so far I am happy with them. There are some issues with these, mostly down to my personal preference however.There has been some occasions where I have lost sound in Teams during meetings, but I can fix this if I flip between the laptop speaker and then back to he Sony Headphone hands free. Not sure yet why this is happening but it could be originating from the laptop and not the speakers.The biggest issue I have is the Sidetone feature. This allows to hear yourself when speaking during a meeting, and apparently is a feature that cannot be adjusted or even disabled. Sony sees this a good feature, but I would somehow disagree, as it could be annoying and disruptive, and takes some time to get use to it.I must say, event though I love these headphones, this Sidetone issue, does not make these headphones perfect in my view. Still however, I have kept them :)"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Very good.,5.0,My so is very happy with his head phones.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",quality,5.0,"Ideal for running love them , battery has lasted ages !"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Good sound quality but bad build quality,4.0,"Worked perfect for 3 weeks but weak plastic snapped on right headphone. Now Superglued, not good!"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",LOVE,5.0,LOVE THESE SO MUCH NEVER GOING BACK TO AIRPODS
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Really good headphone's,5.0,Product good as expected
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Does what it says on the tin.,4.0,What I expected.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","Love them , no worries about wires any more .",4.0,"Bluetooth connection has a great range . Just a pity they don't fold all the way , would have been better but not a huge issue . Started off uncomfortable but after a while I did get used to them and barely notice ."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Simple BT headphones,3.0,"I don't know why Amazon asks to rate Noise Cancellation features, these are not NC headphones.They are simple and light BT headphones. Pairing is quick and reliable, on startup they announce battery level, so you can charge before they get flat. Power is USB-C connector.The downside to these headphones is the headband. It's rather uncomfortable, without any padding and leaves marks on the head in as little as 30 minutes (if you're bald and don't have padding , like me).As on-ear headphones, they naturally press on the ear, I find it contrast to other headphones like the AKG Y50 (at double the price) rather uncomfortable. Wearing them gets warm, and where they press against the helix (outtermost structure of the concha) it gets really uncomfortable after a couple of hours, especially if you're wearing glasses.I've had them for three months, so can't say how long they will last, I suspect the hard plastic frame will give out from simple mechanical force such as being packed in a suitcase sooner or later.tl;dr: good sound the price, but comfort some comfort issues."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Functional Affordable for office use,5.0,Functional and affordable for everyday office use
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great headphones and great price,4.0,"Headphones sound good, feel good and look good 👍🏻..Only criticism is that the plastics headband feels kind of flimsy and on my fat head they feel like they could break. No breakage yet though 👍🏻"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great for the price,5.0,"I wanted headphones that weren’t too expensive. These are great for the price. They are loud and stay on my head when working out. The best thing about them is the battery life, I’ve had them for about 3 months and only charged once or twice and I use them for about 6-7 hours a week."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","Decent sound, decent bluetooth, shame about noise cancellation and comfort",4.0,"I find these headphones to be rather confusing. I bought these to use with my Iphone as I have my whole library of MP3's saved onto the phone. These headphones produce decent sound, bluetooth connectivity can also be quite good although I have experienced a couple of cut outs from this device a few times.I find these to be ever so slightly louder than the previous version (WH-CH500) but at the same time less warm sounding whilst the bass tends to be a little more in your face. The CH500's I feel produced a better sounding package overall but considering the price these also do a decent job.One area where these fall down compared to the previous version is comfort. After a while of use, these tend to hurt quite a bit on the ear. It usually happens around 30 minutes after putting them on. With the CH500's I did not feel this was as bad. I could wear those for far longer before feeling any pain in my ears!Overall, a great sounding pair of headphones, just shame about the comfort."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",sounds okay,5.0,sorry not expert brought because I trust the brand
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Very good sound quality.,4.0,"Great sound quality. Could do with padding on head band. If you have lots of hair, it wouldn't be a problem, but for me they leave an small indent on the bone dome."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Excellent sound,5.0,I have bought several pairs and they never disappoint
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Pretty Decent,5.0,"For travelling these are a good bang for the buck. They aren't the most bass heavy and they aren't the greatest for noise cancelling but they are light on the head and secure on the ear. I liked them so much I bought my missus a white pair, and she loves them too."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",decent headphones,4.0,decent headphones for the price
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great quality,5.0,Great quality for the price.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Nice and light compact,4.0,"Given 4 star, affordable, great quality, nice and light"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Wow,5.0,Really good sound quality. Comfortable.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Absolutely Brilliant,5.0,"These headphones are well worth the money, they are just as good as the £250 Bose ones that my brother owns for a fraction of the price, I would highly recommend this product"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great battery life,5.0,Great sound and the battery life is great!
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Good headset,5.0,I like it
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Perfect gift for my daughter.,5.0,Easy to use does what my daughter need it for her music.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Best headphones I’ve gotten,5.0,Like they are soo good and so affordable at the same time??!! Like I carry them always when I’m on the bus and the sound is so good. Best headphones I’ve gotten.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Very good. Sound. For the price,5.0,Very good sound extremely. Easy to connect only downside is they are a but flimsy
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Terrible echo when on calls,2.0,This product has a terrible echo that picks up everything when on calls. I could even hear the traffic around me amplified through the speakers on my first call. Not recommended. Sound and all is decent though.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Average headphones,3.0,"The sound quality is good, noise cancelling is not there but you get what you pay for"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",5* Cannot Fault,5.0,"I brought these headphones to use in the gym, I train for about an hour x3 times a week. I have been going to the gym for 2 months and haven’t had to charge them once since the initial time. I don’t usually leave reviews but have been so pleased with my purchase and feel listening to my favourite music has inspired me to keep at it."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Very good purchase,5.0,Once fully charged it runs forever. Great price & great sound
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Perfect,5.0,"Can’t fault them at such a cheap price, prefer them to my much more expensive Sony in ear headphones"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great Cheap Headphones,5.0,i bought these to replace £100 Sennheiser headphones that were stolen from me in a bar.  These are better and less than half the price.  They are lighter - fit better - have a better mid range - and the sound seems 'cleaner'.  Thanks SONY
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Fantastic headphones,5.0,Great quality headphones. Fantastic sound experience.  Good bass.  Small size.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Value for money,5.0,The quality of the sound on the volume was excellent and great value for money
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","sound is good, feels quite cheap",3.0,"sounds quality is good, but the product feels quite cheap. I have had some connection issues also."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great indoors but poor outdoors,4.0,"I bought on-ear headphones rather than noise cancelling headphones because I got them for wearing while in the street, and didn't want to be too cut-off from my surroundings. However as soon as there's any traffic noise you can hardly hear anything through them. I actually prefer using my Sony MDR-XB50AP in-ear headphones because the sound quality is better! I've tried them with different styles of music and the sound quality is generally very good although a bit lacking in the bass where there's a heavy drum beat, but the connectivity is excellent and they're good for a small head."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Reasonably Good for the price.,4.0,I live about 30 miles from my son but with these headphones connected to our iPhones via Bluetooth my son and I can use WhatsApp over Wi-fi to talk whilst we ride together on Zwift.Had reservations about the microphone being integral to one of the earphones but need not have worried as it picks up everything.Comfortable enough for an hour or so.Sound quality when listening to music better than I expected for the price.They don’t fall off while I’m riding and neither do I.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Feels cheap and average sound quality,4.0,"Given the positive reviews on these headphones, specially on its sound quality, i decided to buy these, apart from most of the reviews pointing to how cheap they look. For me the sound quality is more important and i would be using them most of the time indoor, so poor noise cancellation wouldn't be such a problem. The sounds didn't impress me, i feel they lack high frequencies, and consequently clarity. Bass is ok, however it emphasizes the mid  low frequency bass, instead of the really low. I was expecting better sound quality to be honest, specially from Sony. Not sure of its because its a bluetooth pair of headphones, but that shouldn't make any difference as soon as bluetooth bandwidth is enough. I always choose sony headphones because they usually have very good sounds quality, at least for my taste. I didn't feel  the same about these ones unfortunately. Lets see how long they last."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Good Product - Big Head friendly - Worth it!,5.0,"I use this headset for work meetings.Pros -1. Good battery life, only need to charge it once in about 3 days, with about 4 or 5 hours of being on call everyday.2. Good microphone, my colleagues can hear me well and do not hear too much of background noise at my end (which can sometimes include the TV for my kid on at a moderately low volume).3. Good enough range that I can step away from computer and get a cup of tea from the kitchen4. (Deal clincher for me) - Good for big heads. At max stretch it is 55cm ear to ear; when not expanded it is 47cm. 5. Does not hurt my ears.6. Good price, a third of the equivalent JabraCons -- Not really cons for me, but just some notes1. Not noise cancelling2. Does not have the microphone wand, if you like that in a headset. It is built into the ear piece."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Fab! But keep in mind..,4.0,"Fab! But keep in mind that there is no aux cable or aux plug-in spot for the headphones. If you can use Bluetooth this is absolutely fabulous and the sound is amazing. I can tell these headphones are going to live a long life. We have had many failing headphones, and we hope Sony can make that change with these ones. The last ones I bought were a solid £20, in Curry's Pc world, and we thought they were amazing and perfect, but after just a few months, they broke. Even after we tried repairing them, they broke EVEN MORE. I hope these ones will do the job, so far, so good!"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Superb,5.0,These head phone are very good value
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Good for the price.,4.0,"Had these for about 3 weeks now and I'd definitely say they are good value. Wouldn't recommend for children or those with smaller heads as it won't adjust as much, perfect for bigger heads/hat wearers.- Noise cancellation isn't great on loud volumes.- Feels quite plasticy but is durable.- Battery is awesome, haven't had to charge it yet but I don't use it too much.- Connects easily to Macbook and mobile phone.- Not foldable unfortunately.- Sound signature didn't have as much... Depth? I'm not sure of the word but my old sony wired pair sound nicer.Overall good for the price, music sounds ok not the best but I've gotten used to it. Would still recommend for those on a budget."
